Name,Params,Measurement Unit,Value
Average,Time threshold=0;Objects threshold=0,ms,1
Average,Time threshold=0;Objects threshold=1,ms,1
Peak rate,Time threshold=0;Objects threshold=0,millis / second,112
Peak rate,Time threshold=3;Objects threshold=0,millis / second,87
Peak rate,Time threshold=5;Objects threshold=0,millis / second,80
Peak rate,Time threshold=10;Objects threshold=0,millis / second,67
Peak rate,Time threshold=20;Objects threshold=0,millis / second,53
Peak rate,Time threshold=3;Objects threshold=2,millis / second,26
Peak rate,Time threshold=5;Objects threshold=2,millis / second,24
Peak rate,Time threshold=3;Objects threshold=3,millis / second,15
Peak rate,Time threshold=5;Objects threshold=3,millis / second,14
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^1.2 / second,178
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.2 / second,168
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.5 / second,562
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^2.0 / second,5230
!
Name,Params,Measurement Unit,Value
Average,Time threshold=0;Objects threshold=0,ms,1
Average,Time threshold=0;Objects threshold=1,ms,1
Peak rate,Time threshold=0;Objects threshold=0,millis / second,112
Peak rate,Time threshold=3;Objects threshold=0,millis / second,89
Peak rate,Time threshold=5;Objects threshold=0,millis / second,84
Peak rate,Time threshold=10;Objects threshold=0,millis / second,71
Peak rate,Time threshold=20;Objects threshold=0,millis / second,60
Peak rate,Time threshold=3;Objects threshold=2,millis / second,32
Peak rate,Time threshold=5;Objects threshold=2,millis / second,31
Peak rate,Time threshold=3;Objects threshold=3,millis / second,18
Peak rate,Time threshold=5;Objects threshold=3,millis / second,17
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^1.2 / second,184
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.2 / second,177
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.5 / second,586
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^2.0 / second,5129
!
Name,Params,Measurement Unit,Value
Average,Time threshold=0;Objects threshold=0,ms,1
Average,Time threshold=0;Objects threshold=1,ms,1
Peak rate,Time threshold=0;Objects threshold=0,millis / second,107
Peak rate,Time threshold=3;Objects threshold=0,millis / second,85
Peak rate,Time threshold=5;Objects threshold=0,millis / second,78
Peak rate,Time threshold=10;Objects threshold=0,millis / second,63
Peak rate,Time threshold=20;Objects threshold=0,millis / second,50
Peak rate,Time threshold=3;Objects threshold=2,millis / second,28
Peak rate,Time threshold=5;Objects threshold=2,millis / second,27
Peak rate,Time threshold=3;Objects threshold=3,millis / second,12
Peak rate,Time threshold=5;Objects threshold=3,millis / second,11
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^1.2 / second,171
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.2 / second,162
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.5 / second,530
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^2.0 / second,4784
!
